ticker,date,open,high,low,close
A,2012-02-28,28.253,28.3955,28.0596,28.3446
A,2012-02-29,28.4553,28.7702,28.1842,28.3407
A,2012-03-01,28.4144,28.7672,28.26,28.6884
A,2012-03-02,28.7532,28.8469,28.2211,28.4004
A,2012-03-05,28.3267,28.3955,27.6412,27.7896
A,2012-03-06,27.4738,27.6262,27.2186,27.4668
A,2012-03-07,27.5316,28.3676,27.4986,28.233
A,2012-03-08,28.518,28.9884,28.0378,28.7672
A,2012-03-09,28.7413,29.2793,28.7413,28.9425
A,2012-03-12,28.812,29.0153,28.1832,28.3377
A,2012-03-13,28.5051,29.3451,28.4264,29.3053
A,2012-03-14,29.3252,29.384,29.0153,29.2146
A,2012-03-15,29.2146,29.8345,29.1359,29.7955
A,2012-03-16,29.8613,29.8853,29.4657,29.6391
A,2012-03-19,29.5285,29.6889,29.3381,29.4697
A,2012-03-20,29.3173,29.3312,28.9087,29.1249
A,2012-03-21,29.1558,29.3123,28.8469,29.0541
A,2012-03-22,28.545,28.5778,28.0776,28.3935
A,2012-03-23,28.3307,28.7791,28.0318,28.7791
A,2012-03-26,29.0861,29.3133,28.9954,29.2655
A,2012-03-27,29.2655,30.0686,29.2275,29.6701
A,2012-03-28,29.5125,29.5415,28.6446,28.9695
A,2012-03-29,28.6516,28.9296,28.5519,28.8838
A,2012-03-30,29.1439,29.2096,28.6516,28.9814
A,2012-04-02,29.0362,29.3711,28.7921,29.2156
A,2012-04-03,29.1299,29.3979,28.9495,29.1897
A,2012-04-04,28.8718,28.9425,28.227,28.4782
A,2012-04-05,28.4254,29.2863,28.3676,29.2325
A,2012-04-09,28.7353,28.7353,28.3486,28.3556
A,2012-04-10,28.3267,28.4782,27.3132,27.5444
A,2012-04-11,27.9829,28.0378,27.6092,27.651
A,2012-04-12,27.7478,28.4393,27.67,28.3426
A,2012-04-13,28.1344,28.2022,27.4738,27.5056
A,2012-04-16,27.7288,27.8195,27.2186,27.3392
A,2012-04-17,27.6092,27.8394,27.5654,27.7676
A,2012-04-18,27.5394,27.7288,27.3532,27.5584
A,2012-04-19,27.6122,27.7288,27.0592,27.2944
A,2012-04-20,27.4598,27.9212,27.38,27.414
A,2012-04-23,26.9276,26.9546,26.4104,26.8708
A,2012-04-24,26.2909,26.3506,25.4907,25.9151
A,2012-04-25,26.239,27.0084,26.239,26.815
A,2012-04-26,26.7782,27.394,26.7572,27.3392
A,2012-04-27,27.4796,27.7806,27.0592,27.7078
A,2012-04-30,27.677,27.8274,27.3322,27.4668
A,2012-05-01,27.366,28.1762,27.2186,27.9829
A,2012-05-02,27.8006,28.0636,27.5444,28.0258
A,2012-05-03,28.0965,28.0965,27.4668,27.4856
A,2012-05-04,27.4478,27.5394,26.6685,26.7044
A,2012-05-07,26.4822,26.7572,26.2191,26.6048
A,2012-05-08,26.4692,26.5141,25.7298,26.2191
A,2012-05-09,25.8215,26.2909,25.7189,26.0029
A,2012-05-10,26.4453,26.6306,25.8345,25.8753
A,2012-05-11,25.7368,26.2321,25.6641,25.6889
A,2012-05-14,25.3083,25.682,25.0303,25.3273
A,2012-05-15,26.6366,27.0672,26.3118,26.3775
A,2012-05-16,26.4822,26.6974,25.8484,25.8893
A,2012-05-17,27.2814,27.2874,25.7946,25.8005
A,2012-05-18,26.0487,26.1922,25.1459,25.2187
A,2012-05-21,25.2853,26.1205,25.2655,26.0417
A,2012-05-22,26.0846,26.828,25.7946,26.3656
A,2012-05-23,26.0637,26.7094,25.6511,26.546
A,2012-05-24,26.5908,26.7981,26.3387,26.7094
A,2012-05-25,26.7094,26.9944,26.5579,26.7044
A,2012-05-29,27.0014,27.5116,26.9754,27.4668
A,2012-05-30,27.114,27.114,26.5649,26.9216
A,2012-05-31,26.9944,27.101,26.2191,26.4762
A,2012-06-01,25.5235,25.682,24.7831,24.8867
A,2012-06-04,24.9695,25.1529,24.0637,24.6377
A,2012-06-05,24.4882,25.1289,24.3616,24.9317
A,2012-06-06,25.1747,25.8933,24.9904,25.8933
A,2012-06-07,26.4025,26.4094,25.8583,26.0208
A,2012-06-08,25.7986,25.9441,25.679,25.7856
A,2012-06-11,26.0786,26.1424,25.3391,25.3791
A,2012-06-12,25.3531,25.7298,25.1011,25.7029
A,2012-06-13,25.5235,25.9341,25.2774,25.392
A,2012-06-14,25.4498,25.8215,25.3083,25.6242
A,2012-06-15,25.8255,26.0756,25.7059,26.0507
A,2012-06-18,25.9471,26.1673,25.6959,26.1424
A,2012-06-19,26.3506,26.9017,26.2978,26.7981
A,2012-06-20,26.815,26.9884,26.2121,26.4632
A,2012-06-21,26.4931,26.7502,25.4109,25.4697
A,2012-06-22,25.7099,25.7647,24.9835,25.4129
A,2012-06-25,25.0313,25.0651,24.3417,24.5201
A,2012-06-26,24.7433,24.9067,24.4951,24.7373
A,2012-06-27,25.0313,25.1857,24.8429,24.9705
A,2012-06-28,24.7771,24.8369,24.2081,24.5579
A,2012-06-29,25.0383,25.6601,25.0383,25.6212
A,2012-07-02,25.8035,25.8583,25.1349,25.4009
A,2012-07-03,25.3411,25.9381,25.3411,25.8105
A,2012-07-05,25.6341,26.0138,25.4597,25.7059
A,2012-07-06,25.3283,25.3491,24.534,24.7911
A,2012-07-09,24.7771,24.9775,24.4154,24.5579
A,2012-07-10,24.9197,25.1927,24.2291,24.4742
A,2012-07-11,24.4473,24.5579,24.0348,24.2819
A,2012-07-12,24.0826,24.0965,23.668,23.8414
A,2012-07-13,23.8614,24.4403,23.7398,24.1832
A,2012-07-16,24.0348,24.2151,23.8803,24.0407
A,2012-07-17,24.0756,24.4224,23.8295,24.3795
A,2012-07-18,24.242,25.3223,24.242,25.0453
A,2012-07-19,24.9127,25.1997,24.7841,25.1099
A,2012-07-20,24.9435,24.9435,24.4403,24.5201
A,2012-07-23,24.0348,24.0627,23.682,23.951
A,2012-07-24,23.8932,23.9381,23.0582,23.2466
A,2012-07-25,23.4508,23.8544,23.3462,23.5943
A,2012-07-26,24.1155,24.4812,23.7657,23.8992
A,2012-07-27,24.0547,24.9007,23.951,24.7701
A,2012-07-30,24.7553,25.0043,24.6027,24.9257
A,2012-07-31,24.8299,25.2735,24.823,24.9973
A,2012-08-01,25.2873,25.2873,24.7553,24.9257
A,2012-08-02,24.7433,24.9575,24.1892,24.6446
A,2012-08-03,25.1619,25.7717,25.1409,25.5325
A,2012-08-06,25.9381,26.0507,25.5953,25.6143
A,2012-08-07,25.6929,26.4862,25.6271,26.2759
A,2012-08-08,26.3028,26.5968,26.1822,26.544
A,2012-08-09,26.4802,26.7492,26.4025,26.6356
A,2012-08-10,26.3955,26.4752,26.0069,26.4612
A,2012-08-13,26.2889,26.5699,26.2101,26.3626
A,2012-08-14,26.519,26.7353,26.2759,26.4363
A,2012-08-15,26.3297,26.6616,25.9859,26.4294
A,2012-08-16,24.4812,24.9197,23.9969,24.256
A,2012-08-17,24.3088,24.3487,24.0288,24.3018
A,2012-08-20,24.1703,24.2749,23.8614,23.9441
A,2012-08-21,24.0886,24.2959,23.9331,24.242
A,2012-08-22,24.1892,24.4673,24.0168,24.4523
A,2012-08-23,24.3088,24.5201,24.2032,24.4603
A,2012-08-24,24.3277,24.8161,24.2889,24.7124
A,2012-08-27,24.6915,24.6915,24.3487,24.4403
A,2012-08-28,24.4055,24.4523,24.0886,24.1225
A,2012-08-29,24.2032,24.3616,24.1095,24.2629
A,2012-08-30,24.1304,24.3088,24.0965,24.1832
A,2012-08-31,24.3726,24.4812,24.0627,24.2629
A,2012-09-04,24.1364,24.4673,23.965,24.1892
A,2012-09-05,24.1962,24.2889,23.9062,23.9839
A,2012-09-06,24.2291,24.5141,23.965,24.4673
A,2012-09-07,24.4673,25.1857,24.3357,25.0821
A,2012-09-10,25.0183,25.2873,24.8369,24.9775
A,2012-09-11,24.9645,24.9904,24.6975,24.6975
A,2012-09-12,24.7553,24.9505,24.4742,24.4742
A,2012-09-13,24.4523,25.1229,24.2749,25.0581
A,2012-09-14,25.0961,26.2032,25.0711,25.9381
A,2012-09-17,25.7587,25.9999,25.6212,25.8713
A,2012-09-18,25.8255,26.0278,25.7517,25.8175
A,2012-09-19,25.8035,26.1185,25.6989,26.0387
A,2012-09-20,25.8175,25.9521,25.3103,25.6143
A,2012-09-21,25.8035,25.9999,25.4597,25.4597
A,2012-09-24,25.3741,25.4597,25.0521,25.2605
A,2012-09-25,25.3681,25.4129,25.0123,25.0183
A,2012-09-26,25.1229,25.1229,24.7303,24.9835
